,score,simple_score,intervention
2020-02-16,7,2,0.0
2020-02-17,7,2,0.0
2020-02-18,4,1,0.0
2020-02-19,5,1,1.0
2020-02-20,6,1,1.0
2020-02-21,5,1,1.0
2020-02-22,5,1,1.0
2020-02-23,5,1,1.0
2020-02-24,4,1,0.0
2020-02-25,8,2,0.0
2020-02-26,3,0,0.0
2020-02-27,7,2,0.0
2020-02-28,8,2,0.0
2020-02-29,9,3,0.0
2020-03-01,8,2,0.0
2020-03-02,5,1,0.0
2020-03-03,5,1,0.0
2020-03-04,3,0,0.0
2020-03-05,4,1,1.0
2020-03-06,5,1,1.0
2020-03-07,6,1,1.0
2020-03-08,7,2,1.0
2020-03-09,3,0,1.0
2020-03-10,8,2,0.0
2020-03-11,8,2,0.0
2020-03-12,4,1,0.0
2020-03-13,3,0,0.0
2020-03-14,6,1,0.0
2020-03-15,5,1,1.0
2020-03-16,9,3,1.0
2020-03-17,9,3,1.0
2020-03-18,6,1,1.0
2020-03-19,5,1,1.0
2020-03-20,5,1,0.0
2020-03-21,5,1,0.0
